time,outdoor_t,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3835716_c,3835716_h,3835716_r,3835716_s,3835717_c,3835717_h,3835717_r,3835717_s,3835718_c,3835718_h,3835718_r,3835718_s,3835719_c,3835719_h,3835719_r,3835719_s,3835720_c,3835720_h,3835720_r,3835720_s
2023-06-01 11:50:00,31.3,36.5,26.5,31.26,26.2,26.2,[26.2],1.0,28.4,25.0,24.0,1.0,36.5,26.0,24.0,1.0,26.5,24.0,24.0,1.0,28.4,26.0,25.0,1.0,36.5,26.0,24.0
2023-06-01 11:55:00,31.1,36.5,26.3,31.22,26.2,26.2,[26.2],1.0,28.4,25.0,24.0,1.0,36.5,25.0,24.0,1.0,26.3,25.0,24.0,1.0,28.4,26.0,25.0,1.0,36.5,26.0,24.0
2023-06-01 12:00:00,31.6,36.5,26.1,31.02,26.0,26.0,[26.0],1.0,28.0,24.0,24.0,1.0,36.5,26.0,24.0,1.0,26.1,24.0,24.0,1.0,28.0,26.0,25.0,1.0,36.5,26.0,24.0
2023-06-01 12:05:00,31.3,36.6,26.5,31.22,26.5,26.5,[26.5],1.0,28.2,26.0,24.0,1.0,36.6,26.0,24.0,1.0,26.5,25.0,24.0,1.0,28.2,27.0,25.0,1.0,36.6,26.0,24.0
2023-06-01 12:10:00,30.7,36.6,26.2,31.12,26.1,26.1,[26.1],1.0,28.1,25.0,24.0,1.0,36.6,26.0,24.0,1.0,26.2,25.0,24.0,1.0,28.1,26.0,25.0,1.0,36.6,26.0,24.0
2023-06-01 12:15:00,30.5,36.5,26.0,31.0,25.9,25.9,[25.9],1.0,28.0,24.0,24.0,1.0,36.5,25.0,24.0,1.0,26.0,24.0,24.0,1.0,28.0,26.0,25.0,1.0,36.5,26.0,24.0
2023-06-01 12:20:00,30.4,36.5,26.5,31.18,26.3,26.3,[26.3],1.0,28.2,25.0,24.0,1.0,36.5,26.0,24.0,1.0,26.5,25.0,24.0,1.0,28.2,26.0,25.0,1.0,36.5,26.0,24.0
2023-06-01 12:25:00,30.2,36.5,26.0,31.04,26.0,26.0,[26.0],1.0,28.1,24.0,24.0,1.0,36.5,25.0,24.0,1.0,26.0,25.0,24.0,1.0,28.1,26.0,25.0,1.0,36.5,26.0,24.0
2023-06-01 12:30:00,30.1,36.4,26.0,31.0,25.9,25.9,[25.9],1.0,28.1,25.0,24.0,1.0,36.4,26.0,24.0,1.0,26.0,25.0,24.0,1.0,28.1,26.0,25.0,1.0,36.4,26.0,24.0
2023-06-01 12:35:00,30.3,36.6,26.4,31.12,26.3,26.3,[26.3],1.0,28.0,25.0,24.0,1.0,36.6,26.0,24.0,1.0,26.4,24.0,24.0,1.0,28.0,26.0,25.0,1.0,36.6,26.0,24.0
